game_id,game_date,season,home_team_id,home_pts,home_fgm,home_fga,home_fg_pct,home_fg3m,home_fg3a,home_fg3_pct,home_ftm,home_fta,home_ft_pct,home_reb,home_ast,home_stl,home_blk,home_tov,home_pf,home_wl,ml_home_avg,ml_away_avg,spread_avg,total_avg,away_team_id,away_pts,away_fgm,away_fga,away_fg_pct,away_fg3m,away_fg3a,away_fg3_pct,away_ftm,away_fta,away_ft_pct,away_reb,away_ast,away_stl,away_blk,away_tov,away_pf,away_wl,actual_spread,actual_total,home_win,beat_spread,went_over
20800558,2009-01-12,2008-09,1610612762,120,39.0,85.0,0.459,8.0,18.0,0.444,34.0,37.0,1.0,40,24.0,10.0,6.0,8.0,20.0,W,406.0,-540.5,9.625,220.125,1610612754,113,42.0,84.0,0.5,13.0,22.0,0.591,16.0,19.0,1.0,40,34.0,5.0,7.0,18.0,27.0,L,7,233,1,0,1
20800344,2008-12-13,2008-09,1610612762,94,33.0,77.0,0.429,8.0,18.0,0.444,20.0,29.0,1.0,46,25.0,11.0,4.0,22.0,23.0,L,317.5,-403.625,7.8125,201.625,1610612753,103,36.0,75.0,0.48,14.0,27.0,0.519,17.0,23.0,1.0,33,18.0,13.0,6.0,18.0,25.0,W,-9,197,0,0,0
20801116,2009-04-01,2008-09,1610612763,112,38.0,79.0,0.481,8.0,18.0,0.444,28.0,34.0,1.0,37,21.0,10.0,6.0,12.0,22.0,W,131.5,-148.875,3.0,200.9375,1610612764,107,40.0,83.0,0.482,5.0,14.0,0.357,22.0,25.0,1.0,41,16.0,9.0,7.0,16.0,25.0,L,5,219,1,1,1
20800762,2009-02-09,2008-09,1610612763,85,28.0,77.0,0.364,3.0,15.0,0.2,26.0,35.0,1.0,64,18.0,3.0,9.0,18.0,21.0,W,147.5,-164.875,3.5625,186.0,1610612740,80,26.0,88.0,0.295,7.0,25.0,0.28,21.0,22.0,1.0,38,13.0,9.0,5.0,7.0,27.0,L,5,165,1,1,0
20800642,2009-01-24,2008-09,1610612763,88,30.0,70.0,0.429,6.0,14.0,0.429,22.0,30.0,1.0,41,17.0,5.0,3.0,11.0,20.0,L,-115.5,0.5,-1.25,191.9375,1610612751,99,38.0,83.0,0.458,9.0,29.0,0.31,14.0,18.0,1.0,42,20.0,6.0,5.0,6.0,23.0,W,-11,187,0,0,0
20800609,2009-01-19,2008-09,1610612763,79,32.0,78.0,0.41,2.0,8.0,0.25,13.0,17.0,1.0,46,14.0,5.0,4.0,13.0,20.0,L,-176.625,157.875,-4.0625,177.1875,1610612765,87,36.0,75.0,0.48,1.0,11.0,0.091,14.0,22.0,1.0,42,18.0,9.0,2.0,10.0,17.0,W,-8,166,0,0,0
20800584,2009-01-16,2008-09,1610612763,91,32.0,75.0,0.427,3.0,12.0,0.25,24.0,29.0,1.0,35,15.0,8.0,6.0,16.0,24.0,L,-181.875,160.0,-4.375,194.5,1610612762,101,37.0,71.0,0.521,7.0,19.0,0.368,20.0,27.0,1.0,33,23.0,9.0,3.0,15.0,22.0,W,-10,192,0,0,0
20800498,2009-01-04,2008-09,1610612763,102,39.0,82.0,0.476,7.0,15.0,0.467,17.0,18.0,1.0,43,18.0,7.0,4.0,8.0,20.0,W,-256.25,220.0,-5.8125,188.8125,1610612742,82,32.0,76.0,0.421,5.0,18.0,0.278,13.0,17.0,1.0,34,15.0,4.0,10.0,11.0,18.0,L,20,184,1,1,0
20800430,2008-12-26,2008-09,1610612763,108,41.0,78.0,0.526,2.0,13.0,0.154,24.0,40.0,1.0,38,24.0,6.0,4.0,8.0,18.0,W,44.42857142857143,-118.71428571428572,1.0625,204.1875,1610612754,105,43.0,80.0,0.537,6.0,22.0,0.273,13.0,18.0,1.0,40,22.0,8.0,5.0,16.0,28.0,L,3,213,1,1,1
20800384,2008-12-19,2008-09,1610612763,83,31.0,72.0,0.431,3.0,16.0,0.188,18.0,23.0,1.0,23,15.0,7.0,7.0,12.0,14.0,L,143.375,-160.75,3.6875,183.0,1610612766,112,50.0,76.0,0.658,4.0,11.0,0.364,8.0,12.0,1.0,41,35.0,5.0,2.0,15.0,19.0,W,-29,195,0,0,1
