game_date,team_home,team_away,pts_home,pts_away,reb_home,reb_away,ast_home,ast_away,fg_pct_home,fg_pct_away,fg3_pct_home,fg3_pct_away,total_points,point_diff,home_win
2024-11-04,ATL,BOS,93,123,43,50,23,27,41.6,48.5,19.4,32.7,216,-30,False
2024-11-04,BOS,ATL,123,93,50,43,27,23,48.5,41.6,32.7,19.4,216,30,True
2024-11-04,BRK,MEM,106,104,37,44,28,29,47.6,47.3,36.1,26.7,210,2,True
2024-11-04,CHI,UTA,126,135,36,49,36,35,47.4,53.9,37.8,44.4,261,-9,False
2024-11-04,CHO,MIN,93,114,38,45,19,23,39.8,49.4,23.8,47.4,207,-21,False
2024-11-04,CLE,MIL,116,114,39,49,28,21,50.5,48.8,45.9,48.6,230,2,True
2024-11-04,DAL,IND,127,134,38,46,29,30,51.7,56.8,41.7,40.6,261,-7,False
2024-11-04,DEN,TOR,121,119,44,41,29,38,49.4,45.6,32.3,33.3,240,2,True
2024-11-04,DET,LAL,115,103,55,37,22,28,46.9,43.5,23.5,36.0,218,12,True
2024-11-04,GSW,WAS,125,112,56,47,29,29,45.4,43.8,32.4,23.3,237,13,True
2024-11-04,HOU,NYK,109,97,50,39,21,20,48.9,38.6,24.2,39.3,206,12,True
2024-11-04,IND,DAL,134,127,46,38,30,29,56.8,51.7,40.6,41.7,261,7,True
2024-11-04,LAC,SAS,113,104,44,45,25,22,45.6,44.2,51.4,26.8,217,9,True
2024-11-04,LAL,DET,103,115,37,55,28,22,43.5,46.9,36.0,23.5,218,-12,False
2024-11-04,MEM,BRK,104,106,44,37,29,28,47.3,47.6,26.7,36.1,210,-2,False
2024-11-04,MIA,SAC,110,111,36,39,24,23,43.5,51.2,41.7,37.0,221,-1,False
2024-11-04,MIL,CLE,114,116,49,39,21,28,48.8,50.5,48.6,45.9,230,-2,False
2024-11-04,MIN,CHO,114,93,45,38,23,19,49.4,39.8,47.4,23.8,207,21,True
2024-11-04,NOP,POR,100,118,34,38,24,21,45.2,54.8,28.6,34.5,218,-18,False
2024-11-04,NYK,HOU,97,109,39,50,20,21,38.6,48.9,39.3,24.2,206,-12,False
