player_id,player_name,height,weight,age,salary
4278039,Nickeil Alexander-Walker,"6' 5""",205 lbs,27.0,15161800.0
4397886,Charles Bassey,"6' 10""",230 lbs,24.0,
4433183,Lamont Butler,"6' 2""",208 lbs,23.0,
4869342,Dyson Daniels,"6' 7""",199 lbs,22.0,7707709.0
4592401,N'Faly Dante,"6' 11""",230 lbs,23.0,
5144067,Nikola Djurisic,"6' 7""",209 lbs,21.0,1272870.0
4712863,Mouhamed Gueye,"6' 10""",210 lbs,22.0,2221677.0
4433623,Caleb Houstan,"6' 8""",205 lbs,22.0,
4701230,Jalen Johnson,"6' 8""",219 lbs,23.0,30000000.0
4683857,Kobe Johnson,"6' 6""",200 lbs,22.0,
3913174,Luke Kennard,"6' 5""",206 lbs,29.0,11000000.0
4578893,Vit Krejci,"6' 8""",195 lbs,25.0,2349578.0
5144071,Eli John N'Diaye,"6' 8""",209 lbs,21.0,0.0
4873201,Asa Newell,"6' 11""",220 lbs,19.0,3237480.0
4431680,Onyeka Okongwu,"6' 10""",240 lbs,24.0,15000000.0
3102531,Kristaps Porzingis,"7' 2""",240 lbs,30.0,30731707.0
5211175,Zaccharie Risacher,"6' 8""",200 lbs,20.0,13197720.0
4592461,Jacob Toppin,"6' 8""",200 lbs,25.0,0.0
4279118,Keaton Wallace,"6' 3""",185 lbs,26.0,0.0
4277880,Malik Williams,"6' 11""",250 lbs,27.0,
4277905,Trae Young,"6' 1""",164 lbs,27.0,45997800.0
3948153,Chris Boucher,"6' 9""",200 lbs,32.0,
3917376,Jaylen Brown,"6' 6""",223 lbs,28.0,53142264.0
4277951,Luka Garza,"6' 10""",243 lbs,26.0,2461463.0
5175647,Hugo Gonzalez,"6' 6""",205 lbs,19.0,2783880.0
5176420,Hayden Gray,"6' 4""",190 lbs,22.0,
4065804,Sam Hauser,"6' 7""",217 lbs,27.0,10044643.0
5106035,RJ Luis Jr.,"6' 7""",215 lbs,22.0,
4687718,Josh Minott,"6' 8""",205 lbs,22.0,2378870.0
4066354,Payton Pritchard,"6' 1""",195 lbs,27.0,7232143.0
4397424,Neemias Queta,"7' 0""",248 lbs,26.0,2349578.0
4593841,Baylor Scheierman,"6' 6""",205 lbs,24.0,2619000.0
4701992,Max Shulga,"6' 5""",210 lbs,23.0,0.0
4351851,Anfernee Simons,"6' 3""",200 lbs,26.0,27678571.0
4065648,Jayson Tatum,"6' 8""",210 lbs,27.0,54126450.0
4277964,Xavier Tillman,"6' 7""",245 lbs,26.0,2546675.0
4683689,Jordan Walsh,"6' 6""",205 lbs,21.0,2221677.0
3078576,Derrick White,"6' 4""",190 lbs,31.0,28100001.0
4702745,Amari Williams,"7' 0""",262 lbs,23.0,0.0
4433268,Trey Alexander,"6' 4""",185 lbs,22.0,0.0
4277869,Jose Alvarado,"6' 0""",179 lbs,27.0,4500000.0
4397136,Saddiq Bey,"6' 7""",215 lbs,26.0,6118644.0
4277908,Garrison Brooks,"6' 10""",240 lbs,26.0,
4432180,Hunter Dickinson,"7' 2""",265 lbs,24.0,0.0
5144091,Jeremiah Fears,"6' 4""",182 lbs,18.0,7520040.0
4683750,Jordan Hawkins,"6' 5""",190 lbs,23.0,4741320.0
4277813,Herbert Jones,"6' 7""",206 lbs,26.0,13937574.0
