Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,player_name
1.0,Giannis Antetokounmpo,30.0,MIL,PF,26.0,26.0,35.1,12.7,21.0,0.606,0.2,0.7,0.222,12.5,20.3,0.619,0.609,6.8,11.3,0.603,2.0,9.6,11.7,6.0,0.8,1.5,3.3,2.5,32.4,,Giannis Antetokounmpo
2.0,Shai Gilgeous-Alexander,26.0,OKC,PG,34.0,34.0,34.4,11.0,21.0,0.525,2.1,6.0,0.356,8.9,15.0,0.593,0.576,7.0,7.9,0.885,0.8,4.6,5.4,6.1,2.0,1.1,2.6,2.1,31.2,,Shai Gilgeous-Alexander
3.0,Nikola Jokić,29.0,DEN,C,30.0,30.0,36.9,11.8,21.3,0.553,2.3,4.7,0.479,9.5,16.5,0.575,0.607,5.2,6.5,0.805,3.5,9.7,13.2,9.7,1.7,0.6,3.3,2.1,31.0,,Nikola Jokić
4.0,LaMelo Ball,23.0,CHO,PG,22.0,22.0,33.7,10.5,24.6,0.425,4.5,13.0,0.346,6.0,11.6,0.514,0.517,4.7,5.5,0.844,0.9,4.5,5.3,7.4,1.3,0.2,4.1,3.7,30.1,,LaMelo Ball
5.0,Paolo Banchero,22.0,ORL,PF,5.0,5.0,36.4,9.6,19.4,0.495,2.2,6.4,0.344,7.4,13.0,0.569,0.552,7.6,11.8,0.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,,Paolo Banchero
6.0,Jayson Tatum,26.0,BOS,PF,32.0,32.0,36.3,9.4,20.2,0.464,3.9,10.7,0.37,5.4,9.6,0.569,0.561,5.5,6.9,0.796,0.6,8.8,9.4,5.6,1.3,0.4,2.8,2.5,28.2,,Jayson Tatum
7.0,Luka Dončić,25.0,DAL,PG,22.0,22.0,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,Luka Dončić
8.0,Kevin Durant,36.0,PHO,PF,22.0,22.0,36.0,9.8,19.1,0.512,2.4,5.9,0.411,7.4,13.2,0.557,0.575,5.8,6.9,0.836,0.5,6.0,6.5,3.8,0.8,1.3,3.3,1.8,27.7,,Kevin Durant
9.0,De'Aaron Fox,27.0,SAC,PG,35.0,35.0,37.3,9.9,20.3,0.486,2.0,6.3,0.321,7.8,14.0,0.56,0.536,4.9,6.1,0.808,1.1,3.9,4.9,6.2,1.6,0.3,3.3,2.8,26.7,,De'Aaron Fox
10.0,Victor Wembanyama,21.0,SAS,C,29.0,29.0,32.9,9.3,19.2,0.487,3.3,9.2,0.362,6.0,10.0,0.602,0.574,3.9,4.4,0.875,1.9,8.4,10.3,3.9,1.0,3.9,3.6,2.1,25.9,,Victor Wembanyama
