team,opponent,game_date,is_win,pts,reb,ast,stl,blk,tov,fgm,fga,fg3m,fg3a,ftm,fta,minutes,fg_pct,fg3_pct,ft_pct
ATL,BOS,2024-11-04,False,93,43,23,9,3,19,37,89,6,31,13,16,239.99,41.6,19.4,81.2
ATL,BOS,2024-11-12,True,117,44,35,16,2,16,50,99,10,32,7,13,239.99,50.5,31.2,53.8
ATL,BOS,2025-01-18,True,119,55,27,9,10,17,44,93,9,37,22,28,265.0,47.3,24.3,78.6
ATL,BRK,2024-10-23,True,120,45,25,12,9,16,39,80,9,28,33,46,239.98000000000002,48.8,32.1,71.7
ATL,CHI,2024-11-09,False,113,39,31,8,5,13,41,89,9,29,22,30,240.01,46.1,31.0,73.3
ATL,CHI,2024-11-22,False,122,42,32,11,4,11,49,107,10,34,14,19,240.01000000000002,45.8,29.4,73.7
ATL,CHI,2024-12-26,True,141,44,32,9,5,12,46,89,17,45,32,34,239.98999999999998,51.7,37.8,94.1
ATL,CHI,2025-01-15,True,110,51,28,11,5,9,41,100,13,43,15,22,239.99,41.0,30.2,68.2
ATL,CHO,2024-10-25,True,125,39,25,11,9,13,39,81,14,38,33,38,240.0,48.1,36.8,86.8
ATL,CHO,2024-11-30,True,107,49,27,8,7,20,38,78,10,33,21,27,240.0,48.7,30.3,77.8
ATL,CLE,2024-11-27,True,135,51,39,6,6,13,46,97,20,42,23,25,240.0,47.4,47.6,92.0
ATL,CLE,2024-11-29,True,117,53,33,9,5,18,44,85,14,34,15,18,239.98999999999998,51.8,41.2,83.3
ATL,CLE,2025-01-30,False,115,36,28,10,1,11,41,90,13,39,20,27,239.99,45.6,33.3,74.1
ATL,DAL,2024-11-25,False,119,39,32,10,6,14,48,101,9,31,14,16,240.0,47.5,29.0,87.5
ATL,DEN,2024-12-08,False,111,45,26,12,2,12,41,101,9,40,20,27,240.01,40.6,22.5,74.1
ATL,DEN,2025-01-01,False,120,44,34,10,5,13,45,100,16,46,14,21,240.0,45.0,34.8,66.7
ATL,DET,2024-11-08,False,121,44,30,12,6,17,44,97,15,36,18,23,240.02,45.4,41.7,78.3
ATL,DET,2025-01-22,False,104,47,25,14,3,13,39,103,6,38,20,26,240.0,37.9,15.8,76.9
ATL,DET,2025-02-03,True,132,37,27,8,7,12,42,81,16,37,32,39,240.0,51.9,43.2,82.1
ATL,GSW,2024-11-20,False,97,65,27,9,5,17,35,105,12,46,15,24,239.98,33.3,26.1,62.5
ATL,HOU,2025-01-28,False,96,40,19,11,5,16,36,89,11,47,13,16,240.0,40.4,23.4,81.2
ATL,IND,2025-02-01,False,127,44,31,6,4,12,45,90,14,37,23,32,240.0,50.0,37.8,71.9
ATL,LAC,2025-01-04,False,105,43,30,11,4,22,38,88,16,46,13,17,240.0,43.2,34.8,76.5
ATL,LAL,2024-12-06,True,134,48,40,10,5,17,50,100,17,40,17,22,265.0,50.0,42.5,77.3
ATL,LAL,2025-01-03,False,102,39,22,10,3,8,41,100,6,34,14,18,239.99,41.0,17.6,77.8
ATL,MEM,2024-12-21,False,112,41,29,11,6,25,39,80,14,38,20,24,240.0,48.8,36.8,83.3
ATL,MIA,2024-12-28,True,120,47,34,7,2,11,44,86,15,37,17,22,240.0,51.2,40.5,77.3
ATL,MIL,2024-12-04,True,119,55,29,16,3,11,45,103,9,32,20,22,239.99,43.7,28.1,90.9
ATL,MIL,2024-12-14,False,102,44,23,3,6,13,35,82,10,24,22,34,240.0,42.7,41.7,64.7
ATL,MIL,2025-02-07,True,115,52,29,6,6,11,45,92,13,36,12,18,240.0,48.9,36.1,66.7
ATL,MIN,2024-12-23,True,117,38,27,15,6,21,39,73,18,36,21,26,240.0,53.4,50.0,80.8
ATL,MIN,2025-01-27,False,92,51,24,10,3,21,34,86,12,43,12,18,239.99,39.5,27.9,66.7
ATL,NOP,2024-11-03,True,126,41,29,10,3,16,50,88,15,36,11,12,240.01,56.8,41.7,91.7
ATL,NOP,2024-12-02,True,124,51,30,12,4,18,49,96,10,38,16,20,240.0,51.0,26.3,80.0
ATL,NYK,2024-11-06,True,121,48,31,12,4,8,45,100,15,38,16,22,239.97,45.0,39.5,72.7
ATL,NYK,2024-12-11,True,108,58,27,5,7,10,43,104,9,31,13,20,240.01,41.3,29.0,65.0
ATL,NYK,2025-01-20,False,110,41,23,10,6,23,40,85,13,30,17,22,240.01000000000002,47.1,43.3,77.3
ATL,OKC,2024-10-27,False,104,49,24,7,4,19,36,91,10,31,22,29,240.0,39.6,32.3,75.9
ATL,PHO,2025-01-09,False,115,32,32,11,3,11,42,86,15,32,16,17,239.98,48.8,46.9,94.1
ATL,PHO,2025-01-14,True,122,54,22,10,3,12,43,98,17,41,19,26,240.01,43.9,41.5,73.1
ATL,POR,2024-11-17,False,110,47,30,10,7,25,39,85,11,32,21,25,239.98000000000002,45.9,34.4,84.0
ATL,SAC,2024-11-01,False,115,40,30,8,4,13,41,92,19,50,14,18,240.0,44.6,38.0,77.8
