id,full_name,abbreviation,city,state
1610612737,Atlanta Hawks,ATL,Atlanta,Georgia
1610612738,Boston Celtics,BOS,Boston,Massachusetts
1610612751,Brooklyn Nets,BKN,Brooklyn,New York
1610612766,Charlotte Hornets,CHA,Charlotte,North Carolina
1610612741,Chicago Bulls,CHI,Chicago,Illinois
1610612739,Cleveland Cavaliers,CLE,Cleveland,Ohio
1610612742,Dallas Mavericks,DAL,Dallas,Texas
1610612743,Denver Nuggets,DEN,Denver,Colorado
1610612765,Detroit Pistons,DET,Detroit,Michigan
1610612744,Golden State Warriors,GSW,Golden State,California
1610612745,Houston Rockets,HOU,Houston,Texas
1610612754,Indiana Pacers,IND,Indiana,Indiana
1610612746,LA Clippers,LAC,Los Angeles,California
1610612747,Los Angeles Lakers,LAL,Los Angeles,California
1610612763,Memphis Grizzlies,MEM,Memphis,Tennessee
1610612748,Miami Heat,MIA,Miami,Florida
1610612749,Milwaukee Bucks,MIL,Milwaukee,Wisconsin
1610612750,Minnesota Timberwolves,MIN,Minneapolis,Minnesota
1610612740,New Orleans Pelicans,NOP,New Orleans,Louisiana
1610612752,New York Knicks,NYK,New York,New York
1610612760,Oklahoma City Thunder,OKC,Oklahoma City,Oklahoma
1610612753,Orlando Magic,ORL,Orlando,Florida
1610612755,Philadelphia 76ers,PHI,Philadelphia,Pennsylvania
1610612756,Phoenix Suns,PHX,Phoenix,Arizona
1610612757,Portland Trail Blazers,POR,Portland,Oregon
1610612758,Sacramento Kings,SAC,Sacramento,California
1610612759,San Antonio Spurs,SAS,San Antonio,Texas
1610612761,Toronto Raptors,TOR,Toronto,Ontario
1610612762,Utah Jazz,UTA,Utah,Utah
1610612764,Washington Wizards,WAS,Washington,District of Columbia
